gene,bnumber,uniprot_accession,tf_entities,tf_regulondb_ids,num_tf_entities,regulondb_version
nhaR,b0020,P0A9G2,NhaR,RDBECOLITFC00004,1,14.5
caiF,b0034,P0AE58,CaiF,RDBECOLITFC00031,1,14.5
araC,b0064,P0A9E0,AraC,RDBECOLITFC00220,1,14.5
sgrR,b0069,P33595,SgrR,RDBECOLITFC00215,1,14.5
leuO,b0076,P10151,LeuO,RDBECOLITFC00180,1,14.5
cra,b0080,P0ACP1,Cra,RDBECOLITFC00092,1,14.5
mraZ,b0081,P22186,MraZ,RDBECOLITFC00074,1,14.5
pdhR,b0113,P0ACL9,PdhR,RDBECOLITFC00221,1,14.5
dksA,b0145,P0ABS1,DksA,RDBECOLITFC00087,1,14.5
cdaR,b0162,P37047,CdaR,RDBECOLITFC00229,1,14.5
yafC,b0208,P30864,YafC,RDBECOLITFC00001,1,14.5
yafQ,b0225,Q47149,DinJ-YafQ,RDBECOLITFC00036,1,14.5
dinJ,b0226,Q47150,DinJ-YafQ,RDBECOLITFC00036,1,14.5
xynR,b0272,P77300,XynR,RDBECOLITFC00225,1,14.5
matA,b0294,P71301,MatA,RDBECOLITFC00015,1,14.5
rclR,b0305,P77379,RclR,RDBECOLITFC00053,1,14.5
betI,b0313,P17446,BetI,RDBECOLITFC00209,1,14.5
pdeL,b0315,P21514,PdeL,RDBECOLITFC00049,1,14.5
prpR,b0330,P77743,PrpR,RDBECOLITFC00014,1,14.5
cynR,b0338,P27111,CynR,RDBECOLITFC00169,1,14.5
lacI,b0345,P03023,LacI,RDBECOLITFC00223,1,14.5
mhpR,b0346,P77569,MhpR,RDBECOLITFC00166,1,14.5
frmR,b0357,P0AAP3,FrmR,RDBECOLITFC00027,1,14.5
phoB,b0399,P0AFJ5,PhoB,RDBECOLITFC00134,1,14.5
nrdR,b0413,P0A8D0,NrdR,RDBECOLITFC00187,1,14.5
bolA,b0435,P0ABE2,BolA,RDBECOLITFC00192,1,14.5
hupB,b0440,P0ACF4,HU,RDBECOLITFC00121,1,14.5
decR,b0447,P0ACJ5,DecR,RDBECOLITFC00062,1,14.5
acrR,b0464,P0ACS9,AcrR,RDBECOLITFC00154,1,14.5
cueR,b0487,P0A9G4,CueR,RDBECOLITFC00170,1,14.5
allS,b0504,P0ACR0,AllS,RDBECOLITFC00162,1,14.5
allR,b0506,P0ACN4,AllR,RDBECOLITFC00175,1,14.5
fimZ,b0535,P0AEL8,FimZ,RDBECOLITFC00165,1,14.5
appY,b0564,P05052,AppY,RDBECOLITFC00084,1,14.5
envY,b0566,P10805,EnvY,RDBECOLITFC00242,1,14.5
cusR,b0571,P0ACZ8,CusR,RDBECOLITFC00108,1,14.5
citR,b0603,P77746,CitR,RDBECOLITFC00234,1,14.5
dpiA,b0620,P0AEF4,DpiA,RDBECOLITFC00103,1,14.5
nagC,b0676,P0AF20,NagC,RDBECOLITFC00171,1,14.5
fur,b0683,P0A9A9,Fur,RDBECOLITFC00129,1,14.5
kdpE,b0694,P21866,KdpE,RDBECOLITFC00236,1,14.5
mngR,b0730,P13669,MngR,RDBECOLITFC00233,1,14.5
modE,b0761,P0A9G8,ModE,RDBECOLITFC00189,1,14.5
cecR,b0796,P0ACU0,CecR,RDBECOLITFC00181,1,14.5
