locus_tag,common_name,feature_type,ncbi_gene_id,replicon,start,end,strand,description,is_tf,source_url,retrieved_at_utc
VNG0019H,,CDS,1446965,chromosome,15310,15408,+,hypothetical protein VNG0019H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0039H,,CDS,1446984,chromosome,32555,32890,-,hypothetical protein VNG0039H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0040C,,CDS,1446985,chromosome,33182,33628,-,hypothetical protein VNG0040C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0066H,,CDS,1447009,chromosome,64976,65206,+,hypothetical protein VNG0066H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0101G,cspD1,CDS,1447033,chromosome,84617,84841,-,cold shock protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0142C,,CDS,1447071,chromosome,117867,118271,-,hypothetical protein VNG0142C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0147C,,CDS,1447075,chromosome,119759,120226,-,hypothetical protein VNG0147C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0156C,,CDS,1447083,chromosome,127692,128390,+,hypothetical protein VNG0156C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0160G,boa1,CDS,1447087,chromosome,132683,135277,+,bacterio-opsin activator-like protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0176H,,CDS,1447099,chromosome,151875,152615,-,hypothetical protein VNG0176H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0194H,,CDS,1447113,chromosome,166336,166503,-,hypothetical protein VNG0194H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0247C,,CDS,1447153,chromosome,201609,202517,+,hypothetical protein VNG0247C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0254G,tfbG,CDS,1447159,chromosome,208286,209257,-,transcription initiation factor IIB,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0258H,,CDS,1447162,chromosome,210639,210989,-,hypothetical protein VNG0258H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0293H,,CDS,1447185,chromosome,232683,232952,-,hypothetical protein VNG0293H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0315G,tfbF,CDS,1447201,chromosome,247008,247967,-,transcription initiation factor IIB,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0320H,,CDS,1447205,chromosome,251273,251884,-,hypothetical protein VNG0320H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0374G,nusG,CDS,1447240,chromosome,291994,292431,-,transcription antitermination protein NusG,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0389C,,CDS,1447250,chromosome,300938,301228,-,hypothetical protein VNG0389C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0424C,nac,CDS,1447276,chromosome,328415,328807,+,nascent polypeptide-associated complex protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0451G,phoU,CDS,1447298,chromosome,347367,347990,-,hypothetical protein VNG0451G,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0458G,prp1,CDS,1447303,chromosome,352883,353887,+,phosphate regulatory protein-like protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0462C,,CDS,1447306,chromosome,356605,356889,-,hypothetical protein VNG0462C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0471C,,CDS,1447313,chromosome,364276,364476,-,hypothetical protein VNG0471C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0511H,,CDS,1447346,chromosome,395657,395887,+,hypothetical protein VNG0511H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0530G,troR,CDS,1447358,chromosome,409159,409593,+,hypothetical protein VNG0530G,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0536G,sirR,CDS,1447364,chromosome,412713,413414,-,transcription repressor,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
