locus_tag,old_locus_tag,refseq_protein,mist_aseq_id,mist_product,mist_ranks,mist_dna_binding_domains,mist_input_domains,mist_output_domains,mist_signal_gene_id,mist_gene_id,genome_version,genome_name,taxonomy_id,selection,retrieved_at_utc
VNG_RS00060,VNG0016H,WP_010901954.1,7gHbjYPgf63_9OBXESFJLg,MarR family transcriptional regulator,ocp,MarR_2,,MarR_2,32390824,72787,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS00145,VNG0039H,WP_010901975.1,8ZVm383rDt4B2Jjf3Eouuw,MarR family transcriptional regulator,ocp,MarR_2,,MarR_2,32390823,72809,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS00310,VNG0075H,WP_010902006.1,3eY5zw35WKLjOMqVJSKwyQ,ArsR family transcriptional regulator,ocp,HTH_20,,HTH_20,32390820,72848,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS00450,VNG0113H,WP_010902033.1,NJ8ZUsr0OtvteodK4OVGxQ,helix-turn-helix domain-containing protein,ocp,HTH_10,,HTH_10,32390819,72878,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS00590,VNG0142C,WP_010902057.1,ogRUW1QaAAjBneUeBbcngw,transcriptional regulator,ocp,TrmB,,TrmB,32390818,72907,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS00605,VNG0147C,WP_012289104.1,7YrgIRr45Im6wgPUoizkqw,nickel-responsive regulator,ocp,RHH_1,NikR_C,RHH_1,32390817,72911,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS00640,VNG0156C,WP_010902069.1,juLCIs4YdFZ8CASaKVvfYw,helix-turn-helix domain-containing protein,ocp,HTH_10,,HTH_10,32390816,72918,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS00660,VNG0160G,WP_010902073.1,1b7lMVLgxWhnrOxHX-x4ww,PAS domain S-box protein,ocp,HTH_10,GAF|PAS,HTH_10,32390815,72922,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS00795,VNG0194H,WP_010902100.1,IZRO33LzZeO_kGVk9IRsKg,"ribbon-helix-helix protein, CopG family",ocp,RHH_1,,RHH_1,32390813,72949,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS01005,VNG0247C,WP_010902138.1,MKsweJggXAL-lm_l5FiIbg,helix-turn-helix domain-containing protein,ocp,HTH_3,ThiP_synth,HTH_3,32390812,72992,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS01050,VNG0258H,WP_010902147.1,SsC_25tLF9g12EJs9oAYNA,PadR family transcriptional regulator,ocp,PadR,,PadR,32390811,73001,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS01270,VNG0320H,WP_010902192.1,9spKrKSWgMQFp99L5BWpxA,MarR family transcriptional regulator,ocp,HTH_24,,HTH_24,32390796,73045,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS01795,VNG0462C,WP_010902297.1,1OYEsNY49C1yJM22FCc3mg,transcriptional regulator,ocp,HTH_34,,HTH_34,32390822,73150,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS01835,VNG0471C,WP_010902305.1,Mi2KbYYsxktPVBXS4hofLg,transcriptional regulator,ocp,HTH_3,,HTH_3,32390821,73158,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS02000,VNG0511H,WP_010902339.1,GCAvX2iTyVX464uOjsX8ew,MarR family transcriptional regulator,ocp,HTH_24,,HTH_24,32390794,73191,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS02065,VNG0530G,WP_010902351.1,K1-2-75-s-hIdMGzhaeCxA,metal-dependent transcriptional regulator,ocp,Fe_dep_repress,Fe_dep_repr_C,Fe_dep_repress,32390793,73204,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS02095,VNG0536G,WP_012289175.1,tX4utNqhDeXSrqXNehsnVw,metal-dependent transcriptional regulator,ocp,Fe_dep_repress,Fe_dep_repr_C|FeoA,Fe_dep_repress,32390792,73211,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS02325,VNG0591C,WP_010902398.1,LVsHvJes3IYcFnnBGsEtmw,ArsR family transcriptional regulator,ocp,HTH_20,,HTH_20,32390791,73257,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS02760,VNG0703H,WP_010902484.1,_tXLkqmYTdCfaXx_VA0A2A,MarR family transcriptional regulator,ocp,HTH_24,,HTH_24,32390782,73346,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS02765,VNG0704C,WP_010902485.1,rBrx-fIs8_WX8NPC8lVQMA,transcriptional regulator,ocp,HxlR,,HxlR,32390781,73347,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS02840,VNG0725H,WP_010902500.1,KoiQyJz1VEaUh1aLVUJu2Q,ArsR family transcriptional regulator,ocp,HTH_20,,HTH_20,32390779,73362,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS02845,VNG0726C,WP_010902501.1,V-bieuyUDDKp8kD2cGiDCg,hypothetical protein,ocp,TetR_N,TetR_C_6,TetR_N,32390778,73363,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS02950,VNG0751C,WP_010902522.1,n6_iixg98bw_Ikw6PzE5kw,PadR family transcriptional regulator,ocp,PadR,,PadR,32390808,73384,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS03240,VNG0826C,WP_010902578.1,ya6IbtnQ2MQp7o3l5-fAEg,helix-turn-helix domain-containing protein,ocp,HTH_10,,HTH_10,32390804,73442,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS03275,VNG0835G,WP_010902585.1,3pJ0TM_S0H3YB-YChU38tw,metal-dependent transcriptional regulator,ocp,Fe_dep_repress,,Fe_dep_repress,32390803,73449,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS03335,VNG0852C,WP_010902596.1,KgMceVTkceeJzBqDOVE_kA,bacteriocin,ocp,HTH_10,,HTH_10,32390802,73462,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS03430,VNG0878Gm,WP_010902616.1,mLh4n8VoVJCyiC45XTZzbA,CBS domain-containing protein,ocp,HTH_31,CBS,HTH_31,32390800,73481,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
