locus_tag,old_locus_tag,mist_product,mist_ranks,mist_dna_binding_domains,mist_input_domains,mist_output_domains,mist_signal_gene_id,mist_gene_id,genome_version,genome_name,taxonomy_id,selection,retrieved_at_utc
PA0032,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460400,1069048,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0034,,two-component response regulator,tcp|rr,GerE,,GerE,32460398,1069051,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0037,,HTH-type transcriptional regulator TrpI,ocp,HTH_1,LysR_substrate,HTH_1,32460397,1069054,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0048,,transcriptional regulator,ocp,HTH_3,,HTH_3,32460360,1069066,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0056,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460359,1069074,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0116,,hypothetical protein,ocp,HxlR,,HxlR,32460355,1069134,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0120,,transcriptional regulator,ocp,GntR,FCD,GntR,32460354,1069138,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0121,,hypothetical protein,ocp,GntR,FCD,GntR,32460353,1069139,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0123,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460352,1069141,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0125,,hypothetical protein,ocp,RHH_1,,RHH_1,32460351,1069143,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0133,,HTH-type transcriptional activator BauR,ocp,HTH_1,LysR_substrate,HTH_1,32460350,1069151,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0149,,ECF subfamily sigma-70 factor,ecf,Sigma70_r2|Sigma70_r4_2,,Sigma70_r2|Sigma70_r4_2,32460349,1069167,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0152,,transcriptional regulator PcaQ,ocp,HTH_1,LysR_substrate,HTH_1,32460348,1069170,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0155,,transcriptional regulator PcaR,ocp,HTH_IclR,IclR,HTH_IclR,32460347,1069173,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0159,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460346,1069177,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0163,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460345,1069180,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0167,,transcriptional regulator,ocp,TetR_N,TetR_C_3,TetR_N,32460344,1069184,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0181,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460389,1069198,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0191,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460388,1069208,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0207,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460340,1069225,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0217,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460339,1069235,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0218,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460338,1069236,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0225,,transcriptional regulator,ocp,HTH_3,Cupin_2,HTH_3,32460337,1069243,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0233,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460336,1069251,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0236,,transcriptional regulator,ocp,HTH_IclR,IclR,HTH_IclR,32460335,1069254,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0243,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460334,1069261,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0248,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460333,1069266,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0253,,transcriptional regulator,ocp,MarR,,MarR,32460332,1069271,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0268,,transcriptional regulator,ocp,GntR,Aminotran_1_2,GntR,32460330,1069286,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0272,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460329,1069290,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0275,,transcriptional regulator,ocp,HTH_Crp_2,cNMP_binding,HTH_Crp_2,32460328,1069293,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0279,,transcriptional regulator,ocp,HTH_20,,HTH_20,32460327,1069297,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0289,,transcriptional activator GpuR,ocp,HTH_1,LysR_substrate,HTH_1,32460303,1069307,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0294,,transcriptional regulator AguR,ocp,TetR_N,,TetR_N,32460301,1069312,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0306,,transcriptional regulator,ocp,HTH_18,Arabinose_bd,HTH_18,32460300,1069324,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0367,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460297,1069386,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
